SGB	ann	Female_mean	Male_mean	p	type	FC	group
1111525849475912_bin.33		1.72e-08	1.65e-08	1.03692796969519	A	0.0599425404562822	pass
1111525849478105_bin.17		2.34e-07	1.35e-07	1.13109300742095	A	0.793549122532574	pass
1111525849478105_bin.2		2.68e-07	1.04e-07	1.11511777451714	A	1.36564947231668	pass
1111525849478145_bin.1		5.12e-07	4.26e-07	0.693325175920542	A	0.265290379774162	pass
1111525849478145_bin.18_new		3.5e-07	1.6e-07	1.12309126853993	A	1.12928301694497	pass
1111525849478566_bin.12		1.31e-08	1.66e-08	1.58704613240072	A	-0.341616429809474	pass
1111525849478649_bin.35		2.34e-08	1.77e-08	0.180633336210958	A	0.402759169500407	pass
1111525849478674_bin.19		1.68e-08	1.83e-08	0.75823525412503	A	-0.123382415505282	pass
1111525849478674_bin.21		2.04e-08	1.94e-08	0.846566275114269	A	0.072512499784368	pass
1111525849478674_bin.29		1.05e-08	1.13e-08	0.273176100734253	A	-0.105933444749065	pass
1111525849478674_bin.30		1.82e-08	1.92e-08	1.17152668397206	A	-0.0771678605224598	pass
1111525849478674_bin.4		2.92e-08	2.22e-08	1.11511777451714	A	0.395408692529911	pass
1111525849478674_bin.42		3.83e-08	3.4e-08	1.04462109331497	A	0.171809645787255	pass
1111525849478674_bin.44		2.63e-08	3.68e-08	2.39052479802701	A	-0.484642966764711	pass
1111525849478743_bin.16		9.22e-08	1.17e-07	1.04462109331497	A	-0.343669874041429	pass
1111525849478864_bin.13		1.78e-08	1.89e-08	0.0549405849358621	A	-0.0865089932546748	pass
1111525849479042_bin.22		2.75e-08	2.55e-08	0.0746822358880959	A	0.108934371553164	pass
1111525849479196_bin.10		5.37e-07	1.6e-07	1.21267210117596	A	1.74685018309805	pass
1111525849479196_bin.41		1.59e-07	1.85e-07	0.954132280380761	A	-0.218498505231957	pass
1111525849479399_bin.4		1.41e-08	1.37e-08	0.123616448197779	A	0.0415192694382668	pass
1111525849479998_bin.23		1.2e-07	8.13e-08	0.453949745241561	A	0.561707148420853	pass
1111525849479998_bin.38		1.68e-07	1.02e-07	2.01486878482763	A	0.719892080807265	pass
1111525849479998_bin.4		1.09e-07	9.12e-08	0.251191307357385	A	0.257222405499547	pass
1111525849479998_bin.50		2e-08	1.21e-06	1.27999701282979	A	-5.91886323727459	pass
1111525849479998_bin.51		1.04e-07	8.61e-08	0.0146277788392173	A	0.272498385631611	pass
1111525849480093_bin.2		3.28e-07	1.16e-06	0.417252962731255	A	-1.82235708539685	pass
